Na 
4.2 1.0 1.0
8.3 2.0 1.0
10.4 3.2 1.0
12.5 2.7 1.0
14.6 5.1 1.0
16.7 4.1 1.0
18.8 6.1 1.0
20.8 5.9 1.0
22.9 8.2 1.0
25.0 7.8 1.0
27.1 10.3 1.0
29.2 8.5 1.0
31.3 10.2 1.0
33.3 11.4 1.0
35.4 13.0 1.0
37.5 13.7 1.0
39.6 12.9 1.0
41.7 14.8 1.0
43.8 16.1 1.0
45.8 15.7 1.0
47.9 17.1 1.0
50.0 19.4 1.0

Pt 
16.7 1.9 1.0
18.8 1.9 1.0
20.8 1.3 1.0
22.9 5.0 1.0
25.0 2.8 1.0
27.1 4.6 1.0
29.2 3.0 1.0
31.3 4.9 1.0
33.3 8.0 1.0
35.4 7.3 1.0
37.5 9.1 1.0
39.6 10.4 1.0
41.7 8.6 1.0
43.8 11.9 1.0
45.8 13.7 1.0
47.9 14.0 1.0
50.0 13.1 1.0

Ag 
10.4 1.5 1.0
12.5 0.3 1.0
14.6 2.4 1.0
16.7 2.6 1.0
18.8 3.1 1.0
20.8 3.2 1.0
22.9 5.4 1.0
25.0 3.9 1.0
27.1 7.5 1.0
29.2 7.0 1.0
31.3 8.5 1.0
33.3 6.9 1.0
35.4 9.4 1.0
37.5 10.5 1.0
39.6 12.7 1.0
41.7 13.7 1.0
43.8 13.6 1.0
45.8 14.6 1.0
47.9 15.1 1.0
50.0 15.0 1.0

K 
6.2 0.9 1.0
8.3 0.8 1.0
10.4 1.6 1.0
12.5 2.5 1.0
14.6 3.7 1.0
16.7 5.9 1.0
18.8 4.3 1.0
20.8 6.8 1.0
22.9 9.1 1.0
25.0 8.8 1.0
27.1 8.7 1.0
29.2 10.2 1.0
31.3 9.4 1.0
33.3 10.7 1.0
35.4 13.1 1.0
37.5 12.1 1.0
39.6 14.3 1.0
41.7 15.8 1.0
43.8 15.2 1.0
45.8 15.8 1.0
47.9 17.6 1.0
50.0 18.8 1.0

Cs 
2.1 0.3 1.0
4.2 0.4 1.0
6.2 0.4 1.0
8.3 2.6 1.0
10.4 3.0 1.0
12.5 3.3 1.0
14.6 4.1 1.0
16.7 5.7 1.0
18.8 7.2 1.0
20.8 5.7 1.0
22.9 6.5 1.0
25.0 8.8 1.0
27.1 8.0 1.0
29.2 10.6 1.0
31.3 10.4 1.0
33.3 12.1 1.0
35.4 11.7 1.0
37.5 13.7 1.0
39.6 15.9 1.0
41.7 16.5 1.0
43.8 15.6 1.0
45.8 18.1 1.0
47.9 18.2 1.0
50.0 18.7 1.0
